# y,eta,chord,ellipse,schrenk,cl
1.913914,0.478478,1.267935,1.397538,1.332737,1.051108
1.909910,0.477477,1.268769,1.398405,1.333587,1.051088
1.905906,0.476476,1.269603,1.399270,1.334436,1.051066
1.901902,0.475475,1.270437,1.400132,1.335285,1.051043
1.897898,0.474474,1.271271,1.400992,1.336132,1.051020
1.893894,0.473473,1.272105,1.401850,1.336978,1.050996
1.889890,0.472472,1.272940,1.402705,1.337822,1.050971
1.885886,0.471471,1.273774,1.403558,1.338666,1.050945
1.881882,0.470470,1.274608,1.404408,1.339508,1.050918
1.877878,0.469469,1.275442,1.405257,1.340349,1.050890
1.873874,0.468468,1.276276,1.406102,1.341189,1.050861
1.869870,0.467467,1.277110,1.406946,1.342028,1.050832
1.865866,0.466466,1.277945,1.407787,1.342866,1.050801
1.861862,0.465465,1.278779,1.408626,1.343703,1.050770
1.857858,0.464464,1.279613,1.409463,1.344538,1.050738
1.853854,0.463463,1.280447,1.410297,1.345372,1.050705
1.849850,0.462462,1.281281,1.411130,1.346205,1.050671
1.845846,0.461461,1.282115,1.411959,1.347037,1.050637
1.841842,0.460460,1.282950,1.412787,1.347868,1.050601
1.837838,0.459459,1.283784,1.413612,1.348698,1.050565
1.833834,0.458458,1.284618,1.414435,1.349527,1.050528
1.829830,0.457457,1.285452,1.415256,1.350354,1.050490
1.825826,0.456456,1.286286,1.416074,1.351180,1.050451
1.821822,0.455455,1.287120,1.416891,1.352005,1.050411
1.817818,0.454454,1.287955,1.417704,1.352830,1.050370
1.813814,0.453453,1.288789,1.418516,1.353652,1.050329
1.809810,0.452452,1.289623,1.419326,1.354474,1.050287
1.805806,0.451451,1.290457,1.420133,1.355295,1.050244
1.801802,0.450450,1.291291,1.420938,1.356114,1.050200
1.797798,0.449449,1.292125,1.421740,1.356933,1.050156
1.793794,0.448448,1.292960,1.422541,1.357750,1.050110
1.789790,0.447447,1.293794,1.423339,1.358566,1.050064
1.785786,0.446446,1.294628,1.424135,1.359381,1.050017
1.781782,0.445445,1.295462,1.424929,1.360195,1.049969
1.777778,0.444444,1.296296,1.425720,1.361008,1.049921
1.773774,0.443443,1.297130,1.426510,1.361820,1.049871
1.769770,0.442442,1.297965,1.427297,1.362631,1.049821
1.765766,0.441441,1.298799,1.428081,1.363440,1.049770
1.761762,0.440440,1.299633,1.428864,1.364249,1.049718
1.757758,0.439439,1.300467,1.429645,1.365056,1.049666
1.753754,0.438438,1.301301,1.430423,1.365862,1.049612
1.749750,0.437437,1.302135,1.431199,1.366667,1.049558
1.745746,0.436436,1.302970,1.431973,1.367471,1.049504
1.741742,0.435435,1.303804,1.432745,1.368274,1.049448
1.737738,0.434434,1.304638,1.433514,1.369076,1.049392
1.733734,0.433433,1.305472,1.434281,1.369877,1.049334
1.729730,0.432432,1.306306,1.435047,1.370676,1.049276
1.725726,0.431431,1.307140,1.435810,1.371475,1.049218
1.721722,0.430430,1.307975,1.436570,1.372272,1.049158
1.717718,0.429429,1.308809,1.437329,1.373069,1.049098
1.713714,0.428428,1.309643,1.438085,1.373864,1.049037
1.709710,0.427427,1.310477,1.438840,1.374658,1.048976
1.705706,0.426426,1.311311,1.439592,1.375452,1.048913
1.701702,0.425425,1.312145,1.440342,1.376244,1.048850
1.697698,0.424424,1.312980,1.441090,1.377035,1.048786
1.693694,0.423423,1.313814,1.441835,1.377825,1.048721
1.689690,0.422422,1.314648,1.442579,1.378613,1.048656
1.685686,0.421421,1.315482,1.443320,1.379401,1.048590
1.681682,0.420420,1.316316,1.444060,1.380188,1.048523
1.677678,0.419419,1.317150,1.444797,1.380974,1.048455
1.673674,0.418418,1.317985,1.445532,1.381758,1.048387
1.669670,0.417417,1.318819,1.446265,1.382542,1.048318
1.665666,0.416416,1.319653,1.446995,1.383324,1.048248
1.661662,0.415415,1.320487,1.447724,1.384106,1.048178
1.657658,0.414414,1.321321,1.448450,1.384886,1.048107
1.653654,0.413413,1.322155,1.449175,1.385665,1.048035
1.649650,0.412412,1.322990,1.449897,1.386443,1.047962
1.645646,0.411411,1.323824,1.450617,1.387221,1.047889
1.641642,0.410410,1.324658,1.451335,1.387997,1.047815
1.637638,0.409409,1.325492,1.452051,1.388772,1.047740
1.633634,0.408408,1.326326,1.452765,1.389546,1.047665
